id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9915648,46545593,1,1.3109,103.86107,2,22,1,27,280.0,0.61,17,365
9927724,51032547,1,1.30368,103.83469000000001,1,210,2,169,7.0,3.88,2,94
9928008,41234655,3,1.32071,103.90878000000001,1,124,2,76,170.0,1.7,2,357
9929733,51036850,1,1.2958,103.84049,0,119,3,0,1887.0,,1,0
9932692,47526026,5,1.42562,103.82559,0,44,90,12,1105.0,0.27,2,300
9942594,34649530,1,1.28816,103.80309,0,42,90,1,1174.0,0.03,3,270
9945635,32099189,1,1.2872,103.79466,0,75,1,0,1887.0,,1,0
9959188,16468727,3,1.34142,103.95665,0,76,7,5,213.0,0.16,1,0
9962463,3844505,1,1.27532,103.84510999999999,1,181,4,1,1333.0,0.02,1,0
9962713,10101420,1,1.31124,103.85918000000001,1,125,7,0,1887.0,,1,0
9965623,51209996,4,1.39085,103.87926,0,50,7,0,1887.0,,1,0
9967697,45368183,1,1.28331,103.84625,2,26,1,21,202.0,0.48,9,361
9976083,28326594,1,1.28433,103.83122,1,150,2,0,1887.0,,1,0
9979272,20673777,1,1.2990700000000002,103.88689000000001,0,100,1,2,1277.0,0.05,1,0
9979584,2062901,1,1.31451,103.84719,0,60,2,7,26.0,0.61,1,23
9980935,44783532,5,1.42479,103.84528,0,26,1,179,3.0,4.0,1,329
9981003,51287592,4,1.3441100000000001,103.88114,1,250,90,0,1887.0,,1,363
9985237,14588580,1,1.29805,103.83698000000001,1,139,3,28,908.0,0.63,1,0
9985690,51307289,1,1.3285200000000001,103.85600000000001,0,62,1,1,1332.0,0.02,1,0
9986864,51312096,1,1.29866,103.89036999999999,0,150,2,2,1324.0,0.05,1,364
10001615,50960671,1,1.28672,103.84831,2,56,1,39,73.0,0.87,2,269
10004389,44318193,2,1.29855,103.76648,0,56,3,0,1887.0,,1,0
10011167,662984,1,1.29721,103.83946,1,194,2,0,1887.0,,1,0
10020525,46545593,1,1.31195,103.86113,2,22,1,14,923.0,0.31,17,365
10020690,46545593,1,1.31053,103.86147,2,44,1,24,388.0,0.54,17,365
10021140,46545593,1,1.31178,103.86169,2,44,1,7,936.0,0.16,17,365
